date,OPEN,CLOSE,HIGH,LOW,VOLUME
2019-04-17,234.5,234.3,235.75,232.0,70239480
2019-04-18,233.83,232.79,234.11,230.84,55729500
2019-04-19,233.49,232.6,233.5,231.9,12300520
2019-04-22,233.7,235.41,236.09,233.05,44282380
2019-04-23,236.0,235.67,237.56,234.16,56873940
2019-04-24,235.0,236.0,236.47,233.94,43619460
2019-04-25,235.68,227.8,236.0,227.8,100809150
2019-04-26,227.46,223.18,227.47,222.08,94128120
2019-04-29,223.7,228.8,229.09,223.05,48833240
2019-04-30,229.01,225.17,229.02,223.81,63461350
2019-05-02,226.0,229.1,229.84,225.85,36536970
2019-05-03,229.7,232.52,233.0,228.55,47635490
2019-05-06,228.75,232.8,232.8,227.0,48493800
2019-05-07,232.7,231.49,234.34,230.26,46520740
2019-05-08,231.03,230.0,232.5,229.5,42299640
2019-05-10,227.0,227.0,229.49,226.11,44398820
2019-05-13,226.51,224.22,228.67,224.15,47092220
2019-05-14,224.55,227.88,230.55,224.55,76594470
2019-05-15,228.92,228.69,230.96,224.43,61125230
2019-05-16,229.0,228.19,231.45,227.59,40133150
2019-05-17,227.0,226.94,228.24,226.0,28523030
2019-05-20,228.23,226.0,229.18,225.1,30226170
2019-05-21,227.02,232.71,232.71,226.04,59079510
2019-05-22,233.13,235.86,237.4,230.8,59430610
2019-05-23,234.5,229.3,235.37,228.57,51517700
2019-05-24,231.2,234.45,236.45,231.2,65885440
2019-05-27,235.28,236.0,237.0,233.83,27786310
2019-05-28,236.5,233.19,237.47,230.6,74118940
2019-05-29,232.1,233.4,234.3,230.25,51831510
2019-05-30,234.55,232.75,235.21,231.91,36413600
2019-05-31,230.56,233.24,234.1,229.21,53532020
2019-06-03,231.18,239.95,241.5,230.35,84461310
2019-06-04,239.88,236.0,240.25,234.8,70060790
2019-06-05,236.0,239.0,240.3,235.11,52861630
2019-06-06,238.87,244.89,246.34,238.53,61360950
2019-06-07,246.36,248.28,249.0,246.06,68423470
2019-06-10,249.55,249.0,250.65,245.2,62696710
2019-06-11,235.51,235.89,239.0,235.11,67944000
2019-06-13,236.55,240.49,241.07,232.55,75253430
2019-06-14,240.55,238.8,243.8,237.1,50409780
2019-06-17,239.0,237.8,240.87,237.5,33622230
2019-06-18,237.25,241.8,241.99,236.36,48958470
2019-06-19,242.95,240.4,242.95,238.7,33945380
2019-06-20,242.0,244.1,244.99,241.4,64381820
2019-06-21,243.0,238.02,243.9,237.56,61061660
2019-06-24,239.06,239.09,240.75,238.42,27723430
2019-06-25,238.98,236.7,239.2,234.2,38549170
2019-06-26,236.8,240.59,241.37,235.81,39714300
2019-06-27,240.42,240.5,242.44,238.3,48171380
2019-06-28,240.0,238.55,241.23,237.87,33405070
2019-07-01,240.98,242.98,243.9,240.21,50758220
2019-07-02,242.51,241.2,242.74,239.7,28583620
2019-07-03,241.0,241.51,243.7,240.17,32731470
2019-07-04,241.97,242.82,243.0,240.81,25316980
2019-07-05,242.91,242.83,243.5,241.61,27870840
2019-07-08,242.13,243.3,243.3,240.68,28620550
2019-07-09,243.0,242.74,243.7,241.87,26380230
2019-07-10,243.1,243.76,245.5,242.01,41599760
2019-07-11,244.5,241.3,244.97,240.17,33165890
2019-07-12,241.29,237.02,241.5,236.37,47691520
2019-07-15,237.9,235.27,238.59,234.23,45070430
2019-07-16,234.68,234.75,235.3,232.25,36223090
2019-07-17,234.32,234.63,238.04,233.5,33529510
2019-07-18,234.0,234.78,236.4,233.5,23057060
2019-07-19,236.34,232.85,237.93,232.32,34706170
2019-07-22,233.0,230.35,233.98,228.57,37949300
2019-07-23,230.5,232.48,232.83,228.52,36363560
2019-07-24,233.7,230.65,234.0,229.9,27365890
2019-07-25,230.0,232.9,234.65,229.02,33078390
2019-07-26,232.4,230.55,233.99,230.25,25918140
2019-07-29,230.75,232.8,233.74,230.18,18373570
2019-07-30,233.03,236.0,236.0,231.13,34843870
2019-07-31,237.5,233.49,237.55,233.11,50848520
2019-08-01,232.15,229.5,232.46,228.5,56165810
2019-08-02,224.91,220.81,226.88,220.3,94676140
2019-08-05,219.72,222.24,224.0,219.45,49233230
2019-08-06,222.82,226.01,226.88,222.3,48804210
2019-08-07,225.85,222.25,227.6,221.9,49612760
2019-08-08,224.6,223.93,225.9,223.18,31264340
2019-08-09,224.05,220.67,224.36,220.67,31503650
2019-08-12,222.38,222.3,222.99,219.74,28795640
2019-08-13,221.31,223.18,225.75,220.07,46729240
2019-08-14,224.1,217.11,224.25,216.6,52025460
2019-08-15,218.5,214.59,218.94,212.88,68320490
2019-08-16,215.9,215.05,216.75,213.91,38449500
2019-08-19,217.0,217.4,218.2,214.06,37788830
2019-08-20,217.75,216.0,219.23,215.53,37017510
2019-08-21,216.97,218.62,219.5,215.8,42949600
2019-08-22,218.21,219.5,220.4,217.35,45760130
2019-08-23,220.2,219.5,223.1,217.86,54778400
2019-08-26,217.5,218.5,219.64,216.53,35264670
2019-08-27,218.95,217.89,219.05,215.61,51340690
2019-08-28,218.07,218.3,219.08,217.18,30298300
2019-08-29,218.49,221.5,221.5,218.05,35897160
2019-08-30,221.94,224.2,225.2,221.21,58186220
2019-09-02,224.1,226.68,227.84,223.41,38941480
2019-09-03,225.95,224.0,226.25,222.05,44560910
2019-09-04,225.3,227.1,227.5,224.69,41663520
2019-09-05,229.5,230.79,230.93,228.36,54900790
2019-09-06,231.0,229.02,231.2,228.36,37942350
2019-09-09,229.88,229.0,230.87,227.61,22795060
2019-09-10,228.5,233.3,235.23,227.1,60396660
2019-09-11,233.49,234.72,235.9,232.62,41927500
2019-09-12,234.9,234.57,235.42,232.81,38978190
2019-09-13,234.12,233.0,235.0,231.91,23109620
2019-09-16,235.0,235.32,235.53,233.2,39568910
2019-09-17,235.22,235.89,237.2,233.99,55770430
2019-09-18,235.8,235.3,236.45,234.45,25599810
2019-09-19,234.86,234.98,235.49,233.12,39447820
2019-09-20,235.0,232.0,235.5,230.72,40638980
2019-09-23,231.7,229.7,232.17,229.05,28199640
2019-09-24,230.0,227.5,231.99,227.11,43410340
2019-09-25,226.5,228.09,228.3,225.3,37974670
2019-09-26,228.21,229.09,230.9,227.71,32739690
2019-09-27,229.2,228.05,229.96,228.05,18062510
2019-09-30,228.5,227.71,229.0,226.05,30235910
2019-10-01,227.55,226.49,229.56,226.49,29870590
2019-10-02,226.05,223.5,226.63,223.03,42441850
2019-10-03,223.6,224.08,225.64,222.61,38368040
2019-10-04,224.9,222.76,226.06,221.87,32222650
2019-10-07,223.13,227.55,227.8,222.41,40155510
2019-10-08,227.77,226.03,228.18,225.15,31019500
2019-10-09,226.03,227.7,229.0,225.52,39714120
2019-10-10,227.89,228.5,228.94,225.62,31717090
2019-10-11,229.5,230.31,231.2,228.97,37497240
2019-10-14,230.29,228.4,230.67,227.82,34628680
2019-10-15,228.78,229.4,229.88,227.0,30763750
2019-10-16,229.05,231.0,231.2,229.05,39214000
2019-10-17,230.7,233.5,233.5,230.52,46007620
2019-10-18,233.2,235.55,236.03,232.8,42729350
2019-10-21,236.0,234.94,236.88,234.04,28457490
2019-10-22,235.02,239.77,239.77,235.0,40298890
2019-10-23,239.2,239.57,240.18,237.76,34655410
2019-10-24,239.63,242.78,242.78,239.06,40384770
2019-10-25,242.52,240.0,242.77,237.85,49789040
2019-10-28,240.5,237.03,242.33,235.25,39049350
2019-10-29,237.1,240.11,240.2,236.0,41494140
2019-10-30,239.69,239.51,242.2,237.85,43597180
2019-10-31,240.7,234.89,242.0,234.01,60316780
2019-11-01,235.35,236.4,236.74,232.8,39229280
2019-11-05,239.6,238.53,240.98,236.7,43691630
2019-11-06,238.42,239.02,239.02,236.52,33409220
2019-11-07,238.11,242.5,242.95,237.71,44689490
2019-11-08,241.42,240.17,241.68,238.7,30570360
2019-11-11,239.0,241.5,242.4,238.31,27141630
2019-11-12,241.9,239.87,243.74,239.5,35518510
2019-11-13,238.91,237.21,239.57,235.81,31448020
2019-11-14,237.62,237.5,239.13,236.82,34330750
2019-11-15,237.9,240.0,240.18,236.45,30696890
2019-11-18,240.57,237.45,241.23,236.36,32959720
2019-11-19,237.6,239.25,239.82,237.2,29135880
2019-11-20,238.6,237.78,240.2,237.1,28102170
2019-11-21,237.44,237.15,238.0,235.8,24654430
2019-11-22,236.59,238.13,240.19,236.53,33570690
2019-11-25,238.68,237.98,239.75,237.21,17558180
2019-11-26,238.08,235.0,238.1,234.35,58341360
2019-11-27,235.26,234.22,236.45,233.51,21885350
2019-11-28,234.2,235.2,235.5,233.1,18855690
2019-11-29,234.65,233.98,235.14,231.97,27285350
2019-12-02,234.59,233.77,236.37,233.0,28216350
2019-12-03,233.49,230.66,234.06,230.13,26687260
2019-12-04,230.72,231.59,232.24,229.5,24314550
2019-12-05,231.89,231.71,232.15,229.03,23210580
2019-12-06,232.0,235.14,235.14,231.55,33286170
2019-12-09,235.5,237.04,237.5,234.3,31774040
2019-12-10,236.6,237.91,239.29,236.0,36098910
2019-12-11,237.81,240.32,241.23,237.7,44167850
2019-12-12,242.0,241.05,242.3,240.09,36174650
2019-12-13,242.0,241.21,243.25,241.1,33163750
2019-12-16,242.48,241.45,242.48,240.13,25624180
2019-12-17,241.8,241.6,242.96,241.0,33841520
2019-12-18,241.3,246.2,246.25,240.36,55765490
2019-12-19,246.2,244.0,248.4,243.1,59951760
2019-12-20,244.6,244.71,245.4,243.72,32957750
2019-12-23,244.71,248.8,249.19,244.07,23996810
2019-12-24,248.8,248.67,249.89,247.27,21062040
2019-12-25,248.99,248.04,249.3,247.11,7921260
2019-12-26,248.2,248.24,249.24,246.71,12989080
2019-12-27,248.55,252.06,252.95,248.55,31982760
2019-12-30,252.1,254.75,256.0,250.73,43157360
2020-01-03,255.99,255.0,258.19,253.7,35851840
2020-01-06,254.75,253.9,254.84,251.4,22348300
2020-01-08,253.57,259.15,259.15,253.03,40817240
2020-01-09,259.4,257.99,261.76,257.01,38329020
2020-01-10,257.86,258.19,259.25,256.88,18851390
2020-01-13,258.3,262.4,262.4,257.15,25855010
2020-01-14,262.5,259.05,263.22,258.62,31125740
2020-01-15,258.49,256.31,258.91,254.21,49361790
2020-01-16,257.11,257.51,259.51,256.1,40246770
2020-01-17,258.2,262.5,262.82,257.75,44914290
2020-01-20,263.2,266.28,266.97,261.8,29797710
2020-01-21,265.5,268.06,268.9,263.02,38082090
2020-01-22,268.72,266.54,270.8,265.5,44282490
2020-01-23,264.64,263.73,266.89,262.24,40604170
2020-01-24,264.5,265.49,267.5,264.21,27340100
2020-01-27,261.0,255.32,262.1,255.32,56453370
2020-01-28,257.0,257.7,258.84,254.1,48137360
2020-01-29,258.4,259.94,261.57,257.61,35047940
2020-01-30,258.0,257.31,258.69,255.27,31769340
2020-01-31,258.5,252.2,259.2,252.17,47921560
2020-02-03,251.8,253.99,254.96,251.1,52728460
2020-02-04,255.3,255.4,257.38,252.9,49786360
2020-02-05,255.89,255.2,257.66,253.14,50756570
2020-02-06,256.5,252.11,258.0,251.86,43615980
2020-02-07,253.1,254.3,254.3,248.73,50226630
2020-02-10,254.55,252.26,255.73,252.07,35220690
2020-02-11,253.75,254.5,259.77,253.0,79454730
2020-02-12,255.4,254.5,255.49,252.31,52523300
2020-02-13,253.62,253.89,255.18,252.5,36730840
2020-02-14,254.4,251.75,254.4,251.4,30017380
2020-02-17,252.5,251.36,253.1,250.13,26429380
2020-02-18,250.07,249.2,250.44,247.57,36365950
2020-02-19,250.37,249.7,250.68,247.95,25798890
2020-02-20,250.03,250.15,252.17,249.13,30717360
2020-02-21,248.35,250.8,251.49,247.24,27762930
2020-02-25,247.98,245.19,249.0,245.17,41055780
2020-02-26,244.75,250.8,251.21,243.22,67757850
2020-02-27,247.5,242.88,248.98,242.0,58240400
2020-02-28,235.0,233.36,239.0,231.0,124633310
2020-03-02,238.93,228.17,241.0,218.86,101986040
2020-03-03,233.0,236.63,239.0,232.28,83653950
2020-03-04,234.13,235.27,236.7,232.62,54274670
2020-03-05,237.0,232.33,238.72,230.64,57083760
2020-03-06,228.0,219.99,229.2,216.67,104446900
2020-03-10,197.99,201.2,212.74,184.86,244541800
2020-03-11,202.0,194.53,204.33,192.05,138304030
2020-03-12,185.15,175.91,187.87,173.14,197972880
2020-03-13,175.0,198.6,199.52,174.3,263038280
2020-03-16,194.0,195.85,196.7,186.0,174273600
2020-03-17,195.0,184.01,204.78,183.8,184148390
2020-03-18,179.0,174.27,182.2,172.15,155008180
2020-03-19,178.5,189.51,190.15,173.06,187427700
2020-03-20,198.62,195.69,201.86,192.05,170582970
2020-03-23,188.0,183.37,190.99,182.1,157891450
2020-03-24,193.3,192.64,195.0,189.1,104881990
2020-03-25,196.38,188.08,201.0,182.32,187978350
2020-03-26,187.69,188.07,191.2,182.8,111602370
2020-03-27,188.05,180.38,188.97,180.17,114277750
2020-03-30,177.0,183.0,183.2,174.9,94334680
2020-03-31,186.0,187.21,188.77,184.25,114026920
2020-04-01,183.2,184.78,185.47,182.0,76826820
2020-04-02,188.3,186.95,189.9,182.0,125636360
2020-04-03,186.6,185.64,187.49,184.28,92860290
2020-04-06,187.52,190.7,192.02,186.42,77864920
2020-04-07,193.02,197.63,200.54,193.02,136421670
2020-04-08,196.02,200.29,200.29,195.12,89980980
2020-04-09,202.4,203.61,205.44,199.3,109981630
2020-04-10,201.85,201.99,202.75,200.7,28758250
2020-04-13,202.0,198.26,202.16,197.32,41284390
2020-04-14,199.99,197.37,202.85,196.1,80220070
2020-04-15,196.0,186.07,196.25,186.06,98164460
2020-04-16,187.22,188.5,191.67,183.53,109174870
2020-04-17,192.5,191.8,192.7,188.28,71727940
2020-04-20,190.6,189.32,192.23,187.31,62240080
2020-04-21,185.54,186.05,187.5,183.65,94307290
2020-04-22,185.01,190.2,191.94,184.5,75361890
2020-04-23,191.99,190.94,192.5,188.68,62759650
2020-04-24,189.73,188.91,191.65,187.7,55313850
2020-04-27,189.98,188.9,190.5,188.43,43711720
2020-04-28,188.5,192.8,194.22,188.17,78584780
2020-04-29,194.46,195.8,195.8,192.86,69842140
2020-04-30,196.51,197.25,199.7,195.46,87198650
2020-05-04,195.68,193.69,195.68,193.26,56398200
2020-05-05,195.51,194.75,196.46,194.0,35439260
2020-05-06,195.0,195.7,197.23,194.3,49561410
2020-05-07,196.0,195.51,198.15,195.06,57728990
2020-05-08,196.0,196.02,196.25,194.6,33836340
2020-05-12,193.3,191.4,198.0,191.2,67656880
2020-05-13,190.05,187.31,190.6,186.66,63466110
2020-05-14,186.5,183.81,188.2,183.5,76682120
2020-05-15,186.13,183.85,186.78,183.33,63148140
2020-05-18,186.33,188.93,190.0,185.4,77545890
2020-05-19,190.37,189.0,192.55,186.8,105324020
2020-05-20,188.49,193.98,193.98,186.6,93343040
2020-05-21,194.0,192.4,196.31,191.5,79541950
2020-05-22,190.97,188.9,191.25,188.6,57013570
2020-05-25,189.62,191.0,191.31,188.8,23140090
2020-05-26,193.0,194.0,196.1,192.11,79312200
2020-05-27,194.0,198.51,198.97,193.32,116074210
2020-05-28,199.31,205.0,205.0,198.4,117179670
2020-05-29,204.11,200.5,204.4,199.17,106653140
2020-06-01,203.1,203.66,205.93,201.81,65650670
2020-06-02,204.67,212.0,212.0,204.0,116868310
2020-06-03,214.0,221.5,221.92,213.51,145043730
2020-06-04,220.67,213.1,221.0,212.55,122494020
2020-06-05,215.13,219.1,219.93,213.6,88658860
2020-06-08,219.8,220.3,223.15,217.45,88826700
2020-06-09,221.13,217.23,221.88,215.44,69166250
2020-06-10,217.0,212.53,217.58,211.82,91895460
2020-06-11,208.91,208.35,209.24,206.01,70033060
2020-06-15,205.07,207.32,207.85,202.3,75996510
2020-06-16,210.28,207.76,212.19,207.52,66559110
2020-06-17,208.52,208.14,210.35,206.94,56578870
2020-06-18,207.8,203.77,208.1,202.72,72275760
2020-06-19,205.44,207.0,209.2,204.55,75045510
2020-06-22,206.7,206.4,207.95,204.28,58664110
2020-06-23,207.7,207.3,209.74,206.43,53487940
2020-06-25,201.0,206.92,207.0,200.75,71495220
2020-06-26,206.97,203.15,207.5,201.76,46690640
2020-06-29,201.0,205.8,205.86,200.97,43082680
2020-06-30,205.7,203.22,206.0,202.36,43754960
2020-07-02,205.0,209.6,210.15,204.28,76382050
2020-07-03,210.0,210.95,211.97,209.0,50644210
2020-07-06,212.97,214.61,216.79,212.94,55455110
2020-07-07,213.0,210.53,214.23,210.51,44728560
2020-07-08,210.8,210.97,212.29,209.3,42068480
2020-07-09,210.7,209.11,211.7,208.1,45189000
2020-07-10,207.51,212.28,212.6,206.57,50706520
2020-07-13,213.87,208.39,214.2,208.11,51331610
2020-07-14,208.38,209.5,209.58,205.7,66035020
2020-07-15,210.29,211.09,211.8,207.65,49529010
2020-07-16,209.66,211.35,212.6,208.63,39030370
2020-07-17,211.69,210.81,212.18,209.86,36140220
2020-07-20,210.27,213.89,214.48,209.08,44507600
2020-07-21,215.0,215.73,219.1,214.38,75649160
2020-07-22,215.98,216.71,217.65,213.56,48441000
2020-07-23,217.5,215.41,219.28,215.0,43424820
2020-07-24,214.8,215.97,217.41,197.73,53567220
2020-07-27,216.7,216.9,218.38,215.15,38321750
2020-07-28,216.81,215.53,217.42,215.25,24610340
2020-07-29,215.89,219.18,219.18,215.63,41346230
2020-07-30,218.71,218.15,218.88,215.34,51264970
2020-07-31,218.19,221.57,221.98,217.43,59709710
2020-08-03,222.27,226.72,228.36,221.3,64556650
2020-08-04,227.39,227.16,228.85,225.63,42017490
2020-08-05,228.15,226.4,229.17,224.31,54642900
2020-08-06,226.75,226.0,227.43,224.35,30164090
2020-08-07,225.0,227.28,227.6,224.46,35640160
2020-08-10,227.96,225.99,228.7,224.51,43502880
2020-08-11,226.43,232.65,234.73,226.21,81875170
2020-08-12,233.12,242.4,242.5,233.03,101002270
2020-08-13,242.2,241.39,244.04,238.57,85720330
2020-08-14,242.0,239.99,242.22,238.47,44284550
2020-08-17,240.8,237.8,242.35,234.5,77120410
2020-08-18,236.88,236.3,239.83,235.69,36762880
2020-08-19,235.85,239.4,240.75,235.19,38234650
2020-08-20,238.44,232.48,238.51,230.33,116941150
2020-08-21,233.3,231.22,236.5,227.35,138913060
2020-08-24,232.5,231.81,233.7,230.2,44546800
2020-08-25,232.3,228.08,232.97,226.9,58979870
2020-08-26,228.3,227.8,229.4,224.7,75779450
2020-08-27,227.87,226.23,229.98,225.6,51031070
2020-08-28,227.0,226.3,228.1,225.19,40748090
2020-08-31,227.0,226.1,229.71,225.0,62015070
2020-09-01,226.7,227.64,227.97,226.01,37550370
2020-09-02,228.56,222.57,228.75,220.85,77854040
2020-09-03,221.67,218.32,224.23,218.0,69470720
2020-09-04,218.0,222.21,222.5,216.75,70670060
